RANGO DE EDAD,ESTRATO SOCIOECONOMICO DE RESIDENCIA,PERTENECE A MINORIA,TIENE DISCAPACIDAD,PAÍS DE DESTINO,NIVEL ACADÉMICO,MODALIDAD,AÑO SELECCIÓN,GÉNERO
MÁS DE 36,2,No,no,India,Curso Corto,Presencial,2023,masculino
31 - 35 AÑOS,2,Sí,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,3,No,no,India,Curso Corto,Presencial,2023,masculino
26 - 30 AÑOS,3,No,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,1,No,no,India,Curso Corto,Presencial,2023,masculino
MÁS DE 36,5,No,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,3,No,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,3,No,no,India,Curso Corto,Presencial,2023,femenino
26 - 30 AÑOS,3,No,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,3,No,no,India,Curso Corto,Presencial,2023,femenino
31 - 35 AÑOS,2,No,no,India,Curso Corto,Presencial,2023,masculino
MÁS DE 36,1,No,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,3,No,no,India,Curso Corto,Presencial,2023,masculino
MÁS DE 36,4,No,no,India,Curso Corto,Presencial,2023,femenino
31 - 35 AÑOS,3,No,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,3,No,no,India,Curso Corto,Presencial,2023,masculino
MÁS DE 36,4,No,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,4,No,no,India,Curso Corto,Presencial,2023,femenino
MÁS DE 36,3,Sí,no,India,Curso Corto,Presencial,2023,masculino
31 - 35 AÑOS,3,No,no,Japón,Investigacion,Presencial,2023,femenino
31 - 35 AÑOS,3,No,No,Chile,Curso Corto,Virtual,2023,masculino
MÁS DE 36,3,Sí,No,Chile,Curso Corto,Virtual,2023,femenino
MÁS DE 36,3,No,No,Chile,Curso Corto,Virtual,2023,masculino
26 - 30 AÑOS,2,No,No,Chile,Curso Corto,Virtual,2023,femenino
31 - 35 AÑOS,4,No,No,Chile,Curso Corto,Virtual,2023,masculino
31 - 35 AÑOS,3,Sí,No,Chile,Curso Corto,Virtual,2023,femenino
31 - 35 AÑOS,4,No,No,Chile,Curso Corto,Virtual,2023,masculino
31 - 35 AÑOS,3,No,No,Chile,Curso Corto,Virtual,2023,femenino
MÁS DE 36,3,No,No,Chile,Curso Corto,Virtual,2023,masculino
31 - 35 AÑOS,2,No,No,Chile,Curso Corto,Virtual,2023,masculino
26 - 30 AÑOS,2,No,No,Chile,Curso Corto,Virtual,2023,masculino
MÁS DE 36,3,No,No,Chile,Curso Corto,Virtual,2023,masculino
31 - 35 AÑOS,3,No,No,Chile,Curso Corto,Virtual,2023,masculino
MÁS DE 36,3,No,No,Chile,Curso Corto,Virtual,2023,femenino
31 - 35 AÑOS,5,No,No,Chile,Curso Corto,Virtual,2023,femenino
MÁS DE 36,3,No,No,Chile,Curso Corto,Virtual,2023,masculino
26 - 30 AÑOS,2,No,No,Chile,Curso Corto,Virtual,2023,masculino
26 - 30 AÑOS,2,No,No,Chile,Curso Corto,Virtual,2023,femenino
MÁS DE 36,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
26 - 30 AÑOS,4,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
26 - 30 AÑOS,2,Sí,No,Estados Unidos,Maestria,Virtual,2023,femenino
21 - 25 AÑOS,4,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
21 - 25 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
MÁS DE 36,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
21 - 25 AÑOS,3,Sí,No,Estados Unidos,Maestria,Virtual,2023,femenino
26 - 30 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
21 - 25 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
21 - 25 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
MÁS DE 36,2,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
31 - 35 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
MÁS DE 36,3,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
MÁS DE 36,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
26 - 30 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
21 - 25 AÑOS,2,Sí,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,4,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
31 - 35 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
31 - 35 AÑOS,5,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
31 - 35 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
26 - 30 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
26 - 30 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
26 - 30 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
MÁS DE 36,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
31 - 35 AÑOS,1,Sí,No,Estados Unidos,Maestria,Virtual,2023,femenino
31 - 35 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
31 - 35 AÑOS,1,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
31 - 35 AÑOS,2,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
21 - 25 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,masculino
26 - 30 AÑOS,3,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
MÁS DE 36,2,No,No,Estados Unidos,Maestria,Virtual,2023,femenino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,Sí,no,Chile,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,Sí,no,Chile,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,Sí,si,Chile,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
26 - 30 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Chile,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Chile,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
26 - 30 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Chile,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,Sí,no,Mexico,Otro,Presencial,2023,masculino
26 - 30 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
26 - 30 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
MÁS DE 36,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,Sí,no,Mexico,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
26 - 30 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
26 - 30 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,masculino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Mexico,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Perú,Otro,Presencial,2023,masculino
26 - 30 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,masculino
26 - 30 AÑOS,N/A,Sí,no,Perú,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
MÁS DE 36,N/A,No,no,Perú,Otro,Presencial,2023,masculino
31 - 35 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,Perú,Otro,Presencial,2023,femenino
16 - 20 AÑOS,4,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,1,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,Sí,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,Sí,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,4,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,4,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
21 - 25 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,4,No,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
21 - 25 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,4,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
31 - 35 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,6,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,4,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
21 - 25 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
0 - 15 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
0 - 15 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
21 - 25 AÑOS,3,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,masculino
21 - 25 AÑOS,2,No,no,Rusia,Pregrado,Presencial,2023,femenino
21 - 25 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,femenino
16 - 20 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,masculino
21 - 25 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,masculino
26 - 30 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,femenino
21 - 25 AÑOS,4,No,no,Rusia,Maestria,Presencial,2023,femenino
21 - 25 AÑOS,3,No,no,Rusia,Maestria,Presencial,2023,masculino
26 - 30 AÑOS,1,Sí,no,Rusia,Maestria,Presencial,2023,masculino
21 - 25 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,femenino
MÁS DE 36,3,No,no,Rusia,Maestria,Presencial,2023,femenino
21 - 25 AÑOS,3,No,no,Rusia,Maestria,Presencial,2023,masculino
31 - 35 AÑOS,5,No,no,Rusia,Maestria,Presencial,2023,masculino
26 - 30 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,masculino
21 - 25 AÑOS,4,No,no,Rusia,Maestria,Presencial,2023,masculino
31 - 35 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,femenino
21 - 25 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,masculino
21 - 25 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,femenino
16 - 20 AÑOS,1,No,no,Rusia,Maestria,Presencial,2023,masculino
21 - 25 AÑOS,3,No,no,Rusia,Maestria,Presencial,2023,femenino
31 - 35 AÑOS,1,No,no,Rusia,Maestria,Presencial,2023,femenino
21 - 25 AÑOS,2,No,no,Rusia,Maestria,Presencial,2023,masculino
26 - 30 AÑOS,3,No,no,Rusia,Maestria,Presencial,2023,femenino
26 - 30 AÑOS,2,No,no,Rusia,Doctorado,Presencial,2023,femenino
26 - 30 AÑOS,2,No,no,Rusia,Doctorado,Presencial,2023,masculino
26 - 30 AÑOS,1,No,no,Rusia,Doctorado,Presencial,2023,masculino
26 - 30 AÑOS,3,No,no,Rusia,Doctorado,Presencial,2023,femenino
26 - 30 AÑOS,3,No,no,Rusia,Doctorado,Presencial,2023,masculino
26 - 30 AÑOS,3,No,no,Rusia,Doctorado,Presencial,2023,masculino
26 - 30 AÑOS,2,No,no,Rusia,Doctorado,Presencial,2023,femenino
31 - 35 AÑOS,4,No,no,Rusia,Doctorado,Presencial,2023,masculino
26 - 30 AÑOS,3,No,no,Rusia,Doctorado,Presencial,2023,femenino
MÁS DE 36,3,No,No,OEA,Doctorado,Virtual,2023,masculino
16 - 20 AÑOS,N/A,No,no,España,Pregrado,Presencial,2023,femenino
16 - 20 AÑOS,N/A,No,no,España,Pregrado,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,España,Pregrado,Presencial,2023,femenino
21 - 25 AÑOS,N/A,No,no,España,Pregrado,Presencial,2023,masculino
16 - 20 AÑOS,N/A,No,no,España,Pregrado,Presencial,2023,masculino
26 - 30 AÑOS,N/A,No,No,España,Posgrado,Presencial,2023,femenino
MÁS DE 36,N/A,No,No,España,Posgrado,Presencial,2023,masculino
